Job name        : synthetic-linearperturbed
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 150
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [LINEAR_PERTURBED]
[Benchmark] session started

[    1] EDF [score: 2873.29443359375, median singleton score: 17.72144317626953, visited nodes (%): 100.0, solving time (ms): 23.0, median approximation score: 0.8944444358348846]
[    6] CTS [score: 4897.595703125, median singleton score: 31.645124435424805, visited nodes (%): 100.0, solving time (ms): 117.0, median approximation score: 1.0]
[    6] ANT-e [score: 4311.98193359375, median singleton score: 27.15780258178711, visited nodes (%): 99.33333587646484, solving time (ms): 7568.0, median approximation score: 0.0]
[    7] EDF [score: 2925.158935546875, median singleton score: 18.719165802001953, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.9393382370471954]
[    7] BNT [score: 3359.95849609375, median singleton score: 21.02634048461914, visited nodes (%): 100.0, solving time (ms): 202.0, median approximation score: 1.0]
[    7] CTS [score: 3584.876708984375, median singleton score: 23.62824058532715, visited nodes (%): 100.0, solving time (ms): 102.0, median approximation score: 1.0]
[    7] ANT-e [score: 3361.681640625, median singleton score: 20.894506454467773, visited nodes (%): 99.33333587646484, solving time (ms): 4632.0, median approximation score: 0.0]
[    8] EDF [score: 3132.637939453125, median singleton score: 20.16985511779785, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.8461537957191467]
[    8] BNT [score: 4063.22119140625, median singleton score: 23.94668960571289, visited nodes (%): 99.33333587646484, solving time (ms): 197.0, median approximation score: 1.0]
[    8] CTS [score: 4653.248046875, median singleton score: 31.693002700805664, visited nodes (%): 98.66667175292969, solving time (ms): 109.0, median approximation score: 1.0]
[    8] ANT-e [score: 3982.966552734375, median singleton score: 23.306137084960938, visited nodes (%): 98.66667175292969, solving time (ms): 8597.0, median approximation score: 0.0]
[    9] EDF [score: 2796.972900390625, median singleton score: 17.84303092956543, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.8999999761581421]
[    9] BNT [score: 3393.00537109375, median singleton score: 20.838436126708984, visited nodes (%): 100.0, solving time (ms): 199.0, median approximation score: 1.0]
[    9] CTS [score: 3658.031494140625, median singleton score: 21.587026596069336, visited nodes (%): 100.0, solving time (ms): 95.0, median approximation score: 1.0]
[    9] ANT-e [score: 3384.2685546875, median singleton score: 19.628189086914062, visited nodes (%): 99.33333587646484, solving time (ms): 549.0, median approximation score: 0.0]
[   10] EDF [score: 2751.689208984375, median singleton score: 17.24188995361328, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.9128787815570831]
[   10] BNT [score: 3233.083740234375, median singleton score: 19.597448348999023, visited nodes (%): 100.0, solving time (ms): 203.0, median approximation score: 1.0]
[   10] CTS [score: 3355.652099609375, median singleton score: 21.46147346496582, visited nodes (%): 100.0, solving time (ms): 111.0, median approximation score: 1.0]
[   10] ANT-e [score: 3251.656005859375, median singleton score: 19.43122100830078, visited nodes (%): 99.33333587646484, solving time (ms): 305.0, median approximation score: 0.0]
[   11] EDF [score: 3097.8671875, median singleton score: 19.086008071899414, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.7752403020858765]
[   11] BNT [score: 4271.01025390625, median singleton score: 24.30025291442871, visited nodes (%): 100.0, solving time (ms): 198.0, median approximation score: 1.0]
[   11] CTS [score: 4937.95458984375, median singleton score: 32.59173583984375, visited nodes (%): 99.33333587646484, solving time (ms): 108.0, median approximation score: 1.0]
[   11] ANT-e [score: 4237.37939453125, median singleton score: 26.29481315612793, visited nodes (%): 98.66667175292969, solving time (ms): 2553.0, median approximation score: 0.0]
[   12] EDF [score: 2613.730224609375, median singleton score: 15.763091087341309, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.7171428799629211]
[   12] BNT [score: 3898.89208984375, median singleton score: 22.21198272705078, visited nodes (%): 100.0, solving time (ms): 195.0, median approximation score: 1.0]
[   12] CTS [score: 4878.302734375, median singleton score: 29.919214248657227, visited nodes (%): 98.66667175292969, solving time (ms): 106.0, median approximation score: 1.0]
[   12] ANT-e [score: 3946.3193359375, median singleton score: 23.08089828491211, visited nodes (%): 100.0, solving time (ms): 8234.0, median approximation score: 0.0]
[   13] EDF [score: 2778.587158203125, median singleton score: 17.286592483520508, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.75]
[   13] BNT [score: 3923.16259765625, median singleton score: 22.76287269592285, visited nodes (%): 100.0, solving time (ms): 210.0, median approximation score: 1.0]
[   13] CTS [score: 4644.4169921875, median singleton score: 29.581989288330078, visited nodes (%): 100.0, solving time (ms): 112.0, median approximation score: 1.0]
[   13] ANT-e [score: 3960.6884765625, median singleton score: 23.0588436126709, visited nodes (%): 99.33333587646484, solving time (ms): 767.0, median approximation score: 0.0]
[   14] EDF [score: 2770.736328125, median singleton score: 17.770694732666016, visited nodes (%): 99.33333587646484, solving time (ms): 4.0, median approximation score: 1.0]
[   14] BNT [score: 3072.614501953125, median singleton score: 19.256723403930664, visited nodes (%): 99.33333587646484, solving time (ms): 208.0, median approximation score: 1.0]
[   14] CTS [score: 3219.29443359375, median singleton score: 20.669992446899414, visited nodes (%): 100.0, solving time (ms): 107.0, median approximation score: 1.0]
[   14] ANT-e [score: 3076.834228515625, median singleton score: 18.52390480041504, visited nodes (%): 98.66667175292969, solving time (ms): 4204.0, median approximation score: 0.0]
[   15] EDF [score: 2756.049072265625, median singleton score: 17.42545509338379, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.8750000596046448]
[   15] BNT [score: 3553.121826171875, median singleton score: 20.875137329101562, visited nodes (%): 100.0, solving time (ms): 189.0, median approximation score: 1.0]
[   15] CTS [score: 3835.865478515625, median singleton score: 23.648881912231445, visited nodes (%): 100.0, solving time (ms): 115.0, median approximation score: 1.0]
[   15] ANT-e [score: 3542.05810546875, median singleton score: 20.82328224182129, visited nodes (%): 100.0, solving time (ms): 8004.0, median approximation score: 0.0]
[   16] EDF [score: 2832.019287109375, median singleton score: 18.017385482788086, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.6172160804271698]
[   16] BNT [score: 4750.89111328125, median singleton score: 27.133968353271484, visited nodes (%): 100.0, solving time (ms): 197.0, median approximation score: 1.0]
[   16] CTS [score: 5548.4658203125, median singleton score: 37.08741760253906, visited nodes (%): 98.66667175292969, solving time (ms): 104.0, median approximation score: 1.0]
[   16] ANT-e [score: 4737.06298828125, median singleton score: 27.16090965270996, visited nodes (%): 100.0, solving time (ms): 8299.0, median approximation score: 0.0]
[   17] EDF [score: 2990.191650390625, median singleton score: 19.118724822998047, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.7195513844490051]
[   17] BNT [score: 4736.4375, median singleton score: 27.54810333251953, visited nodes (%): 99.33333587646484, solving time (ms): 200.0, median approximation score: 1.0]
[   17] CTS [score: 5534.7421875, median singleton score: 35.7038459777832, visited nodes (%): 99.33333587646484, solving time (ms): 109.0, median approximation score: 1.0]
[   17] ANT-e [score: 4713.2880859375, median singleton score: 28.69839859008789, visited nodes (%): 99.33333587646484, solving time (ms): 8091.0, median approximation score: 0.0]
[   18] EDF [score: 3072.09423828125, median singleton score: 19.694808959960938, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 0.6961537897586823]
[   18] BNT [score: 4904.2490234375, median singleton score: 26.279644012451172, visited nodes (%): 100.0, solving time (ms): 198.0, median approximation score: 1.0]
[   18] CTS [score: 5994.68994140625, median singleton score: 39.43113327026367, visited nodes (%): 100.0, solving time (ms): 110.0, median approximation score: 1.0]
[   18] ANT-e [score: 4851.66015625, median singleton score: 26.32965660095215, visited nodes (%): 100.0, solving time (ms): 8257.0, median approximation score: 0.0]
[   19] EDF [score: 2824.66015625, median singleton score: 17.64838981628418, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.7777777910232544]
[   19] BNT [score: 4174.0009765625, median singleton score: 24.214488983154297, visited nodes (%): 99.33333587646484, solving time (ms): 218.0, median approximation score: 1.0]
[   19] CTS [score: 5204.49267578125, median singleton score: 32.98958206176758, visited nodes (%): 100.0, solving time (ms): 91.0, median approximation score: 1.0]
[   19] ANT-e [score: 4183.4658203125, median singleton score: 23.92381477355957, visited nodes (%): 100.0, solving time (ms): 8875.0, median approximation score: 0.0]
[   20] EDF [score: 2909.530029296875, median singleton score: 18.86892318725586, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.6761904358863831]
[   20] BNT [score: 4539.73291015625, median singleton score: 26.593181610107422, visited nodes (%): 99.33333587646484, solving time (ms): 207.0, median approximation score: 1.0]
[   20] CTS [score: 5440.73291015625, median singleton score: 35.78602981567383, visited nodes (%): 97.33333587646484, solving time (ms): 107.0, median approximation score: 1.0]
[   20] ANT-e [score: 4472.87744140625, median singleton score: 25.68014144897461, visited nodes (%): 99.33333587646484, solving time (ms): 8546.0, median approximation score: 0.0]
[   21] EDF [score: 2807.825439453125, median singleton score: 17.991609573364258, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.9090909659862518]
[   21] BNT [score: 3286.56982421875, median singleton score: 20.663219451904297, visited nodes (%): 100.0, solving time (ms): 174.0, median approximation score: 1.0]
[   21] CTS [score: 3479.426513671875, median singleton score: 22.44002914428711, visited nodes (%): 100.0, solving time (ms): 113.0, median approximation score: 1.0]
[   21] ANT-e [score: 3292.961669921875, median singleton score: 20.299732208251953, visited nodes (%): 99.33333587646484, solving time (ms): 2003.0, median approximation score: 0.0]
[   22] EDF [score: 2867.17822265625, median singleton score: 18.176971435546875, visited nodes (%): 99.33333587646484, solving time (ms): 4.0, median approximation score: 0.8786765038967133]
[   22] BNT [score: 3587.871337890625, median singleton score: 21.52710723876953, visited nodes (%): 99.33333587646484, solving time (ms): 211.0, median approximation score: 1.0]
[   22] CTS [score: 3954.609619140625, median singleton score: 25.114957809448242, visited nodes (%): 99.33333587646484, solving time (ms): 102.0, median approximation score: 1.0]
[   22] ANT-e [score: 3591.1875, median singleton score: 21.25408935546875, visited nodes (%): 99.33333587646484, solving time (ms): 8858.0, median approximation score: 0.0]
[   23] EDF [score: 2752.879150390625, median singleton score: 17.101892471313477, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.7888888716697693]
[   23] BNT [score: 3913.54248046875, median singleton score: 22.777023315429688, visited nodes (%): 100.0, solving time (ms): 222.0, median approximation score: 1.0]
[   23] CTS [score: 4766.9443359375, median singleton score: 30.219228744506836, visited nodes (%): 99.33333587646484, solving time (ms): 113.0, median approximation score: 1.0]
[   23] ANT-e [score: 3803.69580078125, median singleton score: 21.65875244140625, visited nodes (%): 99.33333587646484, solving time (ms): 8790.0, median approximation score: 0.0]
[   24] EDF [score: 2724.72119140625, median singleton score: 17.448623657226562, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.599999874830246]
[   24] BNT [score: 4273.28515625, median singleton score: 24.939273834228516, visited nodes (%): 99.33333587646484, solving time (ms): 203.0, median approximation score: 1.0]
[   24] CTS [score: 5148.4013671875, median singleton score: 33.380760192871094, visited nodes (%): 99.33333587646484, solving time (ms): 108.0, median approximation score: 1.0]
[   24] ANT-e [score: 4405.09228515625, median singleton score: 26.639827728271484, visited nodes (%): 99.33333587646484, solving time (ms): 8063.0, median approximation score: 0.0]
[   25] EDF [score: 2586.019775390625, median singleton score: 16.56564712524414, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.9000000059604645]
[   25] BNT [score: 3147.65576171875, median singleton score: 19.17416000366211, visited nodes (%): 100.0, solving time (ms): 186.0, median approximation score: 1.0]
[   25] CTS [score: 3416.341064453125, median singleton score: 21.90500831604004, visited nodes (%): 100.0, solving time (ms): 97.0, median approximation score: 1.0]
[   25] ANT-e [score: 3149.515625, median singleton score: 18.48957061767578, visited nodes (%): 100.0, solving time (ms): 7660.0, median approximation score: 0.0]
[   26] EDF [score: 3115.28955078125, median singleton score: 19.217126846313477, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.7207791805267334]
[   26] BNT [score: 4898.39306640625, median singleton score: 25.50686264038086, visited nodes (%): 99.33333587646484, solving time (ms): 201.0, median approximation score: 1.0]
[   26] CTS [score: 6085.1298828125, median singleton score: 39.216644287109375, visited nodes (%): 99.33333587646484, solving time (ms): 109.0, median approximation score: 1.0]
[   26] ANT-e [score: 4885.048828125, median singleton score: 24.96175765991211, visited nodes (%): 99.33333587646484, solving time (ms): 8415.0, median approximation score: 0.0]
[   27] EDF [score: 2629.604736328125, median singleton score: 17.05512809753418, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.8090909421443939]
[   27] BNT [score: 3398.485107421875, median singleton score: 20.88663101196289, visited nodes (%): 100.0, solving time (ms): 192.0, median approximation score: 1.0]
[   27] CTS [score: 3704.447509765625, median singleton score: 24.70736312866211, visited nodes (%): 100.0, solving time (ms): 113.0, median approximation score: 1.0]
[   27] ANT-e [score: 3438.275390625, median singleton score: 22.718290328979492, visited nodes (%): 100.0, solving time (ms): 4226.0, median approximation score: 0.0]
[   28] EDF [score: 3145.86669921875, median singleton score: 19.06957244873047, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.8333333730697632]
[   28] BNT [score: 4151.5458984375, median singleton score: 27.02984619140625, visited nodes (%): 98.66667175292969, solving time (ms): 179.0, median approximation score: 1.0]
[   28] CTS [score: 4672.02587890625, median singleton score: 31.253095626831055, visited nodes (%): 98.66667175292969, solving time (ms): 114.0, median approximation score: 1.0]
[   28] ANT-e [score: 4196.06396484375, median singleton score: 27.821147918701172, visited nodes (%): 99.33333587646484, solving time (ms): 7753.0, median approximation score: 0.0]
[   29] EDF [score: 3034.458984375, median singleton score: 19.377744674682617, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.8208556175231934]
[   29] BNT [score: 4103.35107421875, median singleton score: 24.817169189453125, visited nodes (%): 99.33333587646484, solving time (ms): 208.0, median approximation score: 1.0]
[   29] CTS [score: 4879.1708984375, median singleton score: 30.69379997253418, visited nodes (%): 99.33333587646484, solving time (ms): 112.0, median approximation score: 1.0]
[   29] ANT-e [score: 4131.18017578125, median singleton score: 23.821855545043945, visited nodes (%): 99.33333587646484, solving time (ms): 8188.0, median approximation score: 0.0]
[   30] EDF [score: 3019.50537109375, median singleton score: 19.091876983642578, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.9309524297714233]
[   30] BNT [score: 3616.115478515625, median singleton score: 21.237903594970703, visited nodes (%): 99.33333587646484, solving time (ms): 206.0, median approximation score: 1.0]
[   30] CTS [score: 3890.46728515625, median singleton score: 25.52362823486328, visited nodes (%): 99.33333587646484, solving time (ms): 112.0, median approximation score: 1.0]
[   30] ANT-e [score: 3575.5498046875, median singleton score: 21.610755920410156, visited nodes (%): 99.33333587646484, solving time (ms): 5984.0, median approximation score: 0.0]
[   31] EDF [score: 2825.347900390625, median singleton score: 18.479515075683594, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.5523810088634491]
[   31] BNT [score: 5094.08349609375, median singleton score: 28.107629776000977, visited nodes (%): 99.33333587646484, solving time (ms): 195.0, median approximation score: 1.0]
[   31] CTS [score: 6225.708984375, median singleton score: 40.63312530517578, visited nodes (%): 96.0, solving time (ms): 114.0, median approximation score: 1.0]
[   31] ANT-e [score: 4920.12890625, median singleton score: 27.47755241394043, visited nodes (%): 96.66666412353516, solving time (ms): 8068.0, median approximation score: 0.0]
[   32] EDF [score: 2859.025390625, median singleton score: 18.537681579589844, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.9090908467769623]
[   32] BNT [score: 3474.19287109375, median singleton score: 21.097858428955078, visited nodes (%): 99.33333587646484, solving time (ms): 194.0, median approximation score: 1.0]
[   32] CTS [score: 3725.333251953125, median singleton score: 22.713937759399414, visited nodes (%): 99.33333587646484, solving time (ms): 109.0, median approximation score: 1.0]
[   32] ANT-e [score: 3439.34033203125, median singleton score: 20.725711822509766, visited nodes (%): 98.66667175292969, solving time (ms): 7337.0, median approximation score: 0.0]
[   33] EDF [score: 2716.25732421875, median singleton score: 16.493419647216797, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 0.9198718070983887]
[   33] BNT [score: 3276.8037109375, median singleton score: 19.312211990356445, visited nodes (%): 100.0, solving time (ms): 208.0, median approximation score: 1.0]
[   33] CTS [score: 3675.9521484375, median singleton score: 22.952892303466797, visited nodes (%): 100.0, solving time (ms): 115.0, median approximation score: 1.0]
[   33] ANT-e [score: 3289.30224609375, median singleton score: 20.421171188354492, visited nodes (%): 99.33333587646484, solving time (ms): 2804.0, median approximation score: 0.0]
[   34] EDF [score: 2869.45849609375, median singleton score: 18.282915115356445, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.9333333075046539]
[   34] BNT [score: 3341.408447265625, median singleton score: 20.747697830200195, visited nodes (%): 99.33333587646484, solving time (ms): 209.0, median approximation score: 1.0]
[   34] CTS [score: 3657.085205078125, median singleton score: 23.270206451416016, visited nodes (%): 99.33333587646484, solving time (ms): 116.0, median approximation score: 1.0]
[   34] ANT-e [score: 3358.574462890625, median singleton score: 20.84623908996582, visited nodes (%): 98.66667175292969, solving time (ms): 8754.0, median approximation score: 0.0]
[   35] EDF [score: 2960.32177734375, median singleton score: 18.653209686279297, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.7999999821186066]
[   35] BNT [score: 3934.29150390625, median singleton score: 22.618148803710938, visited nodes (%): 100.0, solving time (ms): 187.0, median approximation score: 1.0]
[   35] CTS [score: 4426.26416015625, median singleton score: 28.229263305664062, visited nodes (%): 99.33333587646484, solving time (ms): 106.0, median approximation score: 1.0]
[   35] ANT-e [score: 3958.381103515625, median singleton score: 23.4578800201416, visited nodes (%): 98.66667175292969, solving time (ms): 3948.0, median approximation score: 0.0]
[   36] EDF [score: 3010.8994140625, median singleton score: 18.34019660949707, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.5384615361690521]
[   36] BNT [score: 5417.23486328125, median singleton score: 30.799442291259766, visited nodes (%): 100.0, solving time (ms): 198.0, median approximation score: 1.0]
[   36] CTS [score: 6722.0166015625, median singleton score: 42.247032165527344, visited nodes (%): 100.0, solving time (ms): 117.0, median approximation score: 1.0]
[   36] ANT-e [score: 5582.328125, median singleton score: 32.27640914916992, visited nodes (%): 100.0, solving time (ms): 8190.0, median approximation score: 0.0]
[   37] EDF [score: 2964.976318359375, median singleton score: 19.219364166259766, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 0.8708332777023315]
[   37] BNT [score: 4058.8505859375, median singleton score: 25.177444458007812, visited nodes (%): 100.0, solving time (ms): 198.0, median approximation score: 1.0]
[   37] CTS [score: 4703.7646484375, median singleton score: 30.978191375732422, visited nodes (%): 99.33333587646484, solving time (ms): 92.0, median approximation score: 1.0]
[   37] ANT-e [score: 4013.44921875, median singleton score: 24.405630111694336, visited nodes (%): 100.0, solving time (ms): 8234.0, median approximation score: 0.0]
[   38] EDF [score: 2574.740478515625, median singleton score: 16.296646118164062, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.7000000178813934]
[   38] BNT [score: 3778.525146484375, median singleton score: 21.099170684814453, visited nodes (%): 100.0, solving time (ms): 190.0, median approximation score: 1.0]
[   38] CTS [score: 4265.396484375, median singleton score: 27.287574768066406, visited nodes (%): 100.0, solving time (ms): 111.0, median approximation score: 1.0]
[   38] ANT-e [score: 3737.21435546875, median singleton score: 21.183856964111328, visited nodes (%): 100.0, solving time (ms): 8000.0, median approximation score: 0.0]
[   39] EDF [score: 2798.9736328125, median singleton score: 17.84637451171875, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 1.0]
[   39] BNT [score: 3250.009765625, median singleton score: 19.605934143066406, visited nodes (%): 100.0, solving time (ms): 188.0, median approximation score: 1.0]
[   39] CTS [score: 3477.216552734375, median singleton score: 22.07083511352539, visited nodes (%): 100.0, solving time (ms): 106.0, median approximation score: 1.0]
[   39] ANT-e [score: 3242.9130859375, median singleton score: 20.182109832763672, visited nodes (%): 100.0, solving time (ms): 8217.0, median approximation score: 0.0]
[   40] EDF [score: 3053.04833984375, median singleton score: 19.162588119506836, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.75]
[   40] BNT [score: 4392.83349609375, median singleton score: 24.230960845947266, visited nodes (%): 100.0, solving time (ms): 203.0, median approximation score: 1.0]
[   40] CTS [score: 5041.0419921875, median singleton score: 32.309906005859375, visited nodes (%): 99.33333587646484, solving time (ms): 100.0, median approximation score: 1.0]
[   40] ANT-e [score: 4378.62841796875, median singleton score: 24.519399642944336, visited nodes (%): 99.33333587646484, solving time (ms): 8432.0, median approximation score: 0.0]
[   41] EDF [score: 2924.3076171875, median singleton score: 18.55377960205078, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.8403361439704895]
[   41] BNT [score: 3662.235595703125, median singleton score: 21.39118194580078, visited nodes (%): 99.33333587646484, solving time (ms): 209.0, median approximation score: 1.0]
[   41] CTS [score: 3976.721923828125, median singleton score: 24.793636322021484, visited nodes (%): 99.33333587646484, solving time (ms): 121.0, median approximation score: 1.0]
[   41] ANT-e [score: 3702.998046875, median singleton score: 22.380807876586914, visited nodes (%): 98.66667175292969, solving time (ms): 3479.0, median approximation score: 0.0]
[   42] EDF [score: 3103.24462890625, median singleton score: 20.47296905517578, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.9000000357627869]
[   42] BNT [score: 3793.2607421875, median singleton score: 24.16302490234375, visited nodes (%): 100.0, solving time (ms): 193.0, median approximation score: 1.0]
[   42] CTS [score: 4107.2978515625, median singleton score: 27.88504409790039, visited nodes (%): 100.0, solving time (ms): 109.0, median approximation score: 1.0]
[   42] ANT-e [score: 3764.848388671875, median singleton score: 23.261247634887695, visited nodes (%): 100.0, solving time (ms): 8175.0, median approximation score: 0.0]
[   43] EDF [score: 3102.843994140625, median singleton score: 18.271408081054688, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.7312833666801453]
[   43] BNT [score: 4938.34375, median singleton score: 27.434772491455078, visited nodes (%): 99.33333587646484, solving time (ms): 216.0, median approximation score: 1.0]
[   43] CTS [score: 6391.8603515625, median singleton score: 40.87294387817383, visited nodes (%): 98.0, solving time (ms): 113.0, median approximation score: 1.0]
[   43] ANT-e [score: 4793.88427734375, median singleton score: 26.934797286987305, visited nodes (%): 98.66667175292969, solving time (ms): 8858.0, median approximation score: 0.0]
[   44] EDF [score: 2735.516357421875, median singleton score: 17.620464324951172, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.75]
[   44] BNT [score: 3865.034423828125, median singleton score: 22.85605239868164, visited nodes (%): 100.0, solving time (ms): 209.0, median approximation score: 1.0]
[   44] CTS [score: 4453.28173828125, median singleton score: 29.0216007232666, visited nodes (%): 100.0, solving time (ms): 112.0, median approximation score: 1.0]
[   44] ANT-e [score: 3912.474853515625, median singleton score: 22.979448318481445, visited nodes (%): 100.0, solving time (ms): 8403.0, median approximation score: 0.0]
[   45] EDF [score: 3115.429931640625, median singleton score: 19.90852928161621, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.8268364667892456]
[   45] BNT [score: 4298.6279296875, median singleton score: 25.102224349975586, visited nodes (%): 98.66667175292969, solving time (ms): 203.0, median approximation score: 1.0]
[   45] CTS [score: 4966.50146484375, median singleton score: 32.57615661621094, visited nodes (%): 100.0, solving time (ms): 112.0, median approximation score: 1.0]
