Job name        : synthetic-uc_ndcs
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 150
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_NDCS]
[Benchmark] session started

[    1] EDF [score: 4866.22216796875, median singleton score: 30.816852569580078, visited nodes (%): 98.66667175292969, solving time (ms): 76.0, median approximation score: 0.5662278831005096]
[   10] ANT-e [score: 7061.62158203125, median singleton score: 41.33806610107422, visited nodes (%): 98.66667175292969, solving time (ms): 12722.0, median approximation score: 0.0]
[   11] EDF [score: 4474.04052734375, median singleton score: 28.674152374267578, visited nodes (%): 100.0, solving time (ms): 31.0, median approximation score: 0.7709790468215942]
[   11] BNT [score: 9027.279296875, median singleton score: 47.269317626953125, visited nodes (%): 99.33333587646484, solving time (ms): 728.0, median approximation score: 1.2124062180519104]
[   11] CTS [score: 13216.7099609375, median singleton score: 69.54883575439453, visited nodes (%): 99.33333587646484, solving time (ms): 142.0, median approximation score: 2.091097116470337]
[   11] ANT-e [score: 6726.6689453125, median singleton score: 35.570308685302734, visited nodes (%): 99.33333587646484, solving time (ms): 13769.0, median approximation score: 0.0]
[   12] EDF [score: 4618.37841796875, median singleton score: 28.4215030670166, visited nodes (%): 100.0, solving time (ms): 29.0, median approximation score: 0.6206897795200348]
[   12] BNT [score: 8173.80517578125, median singleton score: 44.551429748535156, visited nodes (%): 100.0, solving time (ms): 638.0, median approximation score: 1.0499999523162842]
[   12] CTS [score: 9705.185546875, median singleton score: 58.36054992675781, visited nodes (%): 97.33333587646484, solving time (ms): 146.0, median approximation score: 1.1647967100143433]
[   12] ANT-e [score: 7666.41796875, median singleton score: 45.32646179199219, visited nodes (%): 97.33333587646484, solving time (ms): 6609.0, median approximation score: 0.0]
[   13] EDF [score: 4580.3779296875, median singleton score: 29.057987213134766, visited nodes (%): 98.66667175292969, solving time (ms): 32.0, median approximation score: 0.2947860509157181]
[   13] BNT [score: 14432.7490234375, median singleton score: 87.29905700683594, visited nodes (%): 98.66667175292969, solving time (ms): 745.0, median approximation score: 1.0189341306686401]
[   13] CTS [score: 18548.736328125, median singleton score: 121.80812072753906, visited nodes (%): 94.66666412353516, solving time (ms): 173.0, median approximation score: 1.0930736064910889]
[   13] ANT-e [score: 14177.3515625, median singleton score: 84.10505676269531, visited nodes (%): 96.66666412353516, solving time (ms): 13129.0, median approximation score: 0.0]
[   14] EDF [score: 5234.97021484375, median singleton score: 33.21133041381836, visited nodes (%): 98.66667175292969, solving time (ms): 34.0, median approximation score: 0.476696714758873]
[   14] BNT [score: 10875.751953125, median singleton score: 57.52894973754883, visited nodes (%): 98.66667175292969, solving time (ms): 810.0, median approximation score: 1.069694995880127]
[   14] CTS [score: 14209.2939453125, median singleton score: 95.5379409790039, visited nodes (%): 94.66666412353516, solving time (ms): 173.0, median approximation score: 1.1474637389183044]
[   14] ANT-e [score: 10709.357421875, median singleton score: 58.93693161010742, visited nodes (%): 96.0, solving time (ms): 14533.0, median approximation score: 0.0]
[   15] EDF [score: 4839.38525390625, median singleton score: 30.514646530151367, visited nodes (%): 100.0, solving time (ms): 30.0, median approximation score: 0.8856208920478821]
[   15] BNT [score: 7421.5703125, median singleton score: 40.258731842041016, visited nodes (%): 100.0, solving time (ms): 704.0, median approximation score: 1.170289933681488]
[   15] CTS [score: 9923.7099609375, median singleton score: 61.48086166381836, visited nodes (%): 100.0, solving time (ms): 140.0, median approximation score: 1.5999996066093445]
[   15] ANT-e [score: 6357.16845703125, median singleton score: 34.6065788269043, visited nodes (%): 100.0, solving time (ms): 15925.0, median approximation score: 0.0]
[   16] EDF [score: 5085.66845703125, median singleton score: 32.91868591308594, visited nodes (%): 100.0, solving time (ms): 33.0, median approximation score: 0.39464418590068817]
[   16] BNT [score: 11851.4228515625, median singleton score: 66.15509033203125, visited nodes (%): 100.0, solving time (ms): 707.0, median approximation score: 1.0]
[   16] CTS [score: 15798.1162109375, median singleton score: 103.65853881835938, visited nodes (%): 97.33333587646484, solving time (ms): 163.0, median approximation score: 1.127462923526764]
[   16] ANT-e [score: 11958.9501953125, median singleton score: 66.90093231201172, visited nodes (%): 97.33333587646484, solving time (ms): 13556.0, median approximation score: 0.0]
[   17] EDF [score: 4519.3564453125, median singleton score: 27.90734100341797, visited nodes (%): 100.0, solving time (ms): 33.0, median approximation score: 0.9198718070983887]
[   17] BNT [score: 5535.041015625, median singleton score: 34.920570373535156, visited nodes (%): 100.0, solving time (ms): 634.0, median approximation score: 1.0851449966430664]
[   17] CTS [score: 5965.40771484375, median singleton score: 38.51603698730469, visited nodes (%): 100.0, solving time (ms): 119.0, median approximation score: 1.1066855788230896]
[   17] ANT-e [score: 5172.97900390625, median singleton score: 33.70315933227539, visited nodes (%): 100.0, solving time (ms): 15143.0, median approximation score: 0.0]
[   18] EDF [score: 5037.50732421875, median singleton score: 32.27794647216797, visited nodes (%): 100.0, solving time (ms): 35.0, median approximation score: 0.509050726890564]
[   18] BNT [score: 10159.4462890625, median singleton score: 55.04814910888672, visited nodes (%): 100.0, solving time (ms): 814.0, median approximation score: 1.0819891691207886]
[   18] CTS [score: 12729.8984375, median singleton score: 83.49082946777344, visited nodes (%): 94.66666412353516, solving time (ms): 158.0, median approximation score: 1.168079435825348]
[   18] ANT-e [score: 9754.607421875, median singleton score: 55.73732376098633, visited nodes (%): 98.0, solving time (ms): 15680.0, median approximation score: 0.0]
[   19] EDF [score: 4837.515625, median singleton score: 31.51584815979004, visited nodes (%): 100.0, solving time (ms): 32.0, median approximation score: 0.47641851007938385]
[   19] BNT [score: 9609.4794921875, median singleton score: 48.122676849365234, visited nodes (%): 100.0, solving time (ms): 605.0, median approximation score: 1.0305789113044739]
[   19] CTS [score: 11527.7158203125, median singleton score: 76.05530548095703, visited nodes (%): 96.0, solving time (ms): 161.0, median approximation score: 1.1471861600875854]
[   19] ANT-e [score: 9287.51953125, median singleton score: 50.959800720214844, visited nodes (%): 96.66666412353516, solving time (ms): 13940.0, median approximation score: 0.0]
[   20] EDF [score: 4491.0302734375, median singleton score: 29.287832260131836, visited nodes (%): 98.0, solving time (ms): 34.0, median approximation score: 0.8153409659862518]
[   20] BNT [score: 6151.22509765625, median singleton score: 40.784812927246094, visited nodes (%): 97.33333587646484, solving time (ms): 657.0, median approximation score: 1.0533428192138672]
[   20] CTS [score: 6784.44921875, median singleton score: 46.202945709228516, visited nodes (%): 97.33333587646484, solving time (ms): 137.0, median approximation score: 1.0844444632530212]
[   20] ANT-e [score: 5808.521484375, median singleton score: 37.961612701416016, visited nodes (%): 96.66666412353516, solving time (ms): 14324.0, median approximation score: 0.0]
[   21] EDF [score: 4897.197265625, median singleton score: 30.968544006347656, visited nodes (%): 99.33333587646484, solving time (ms): 30.0, median approximation score: 0.7894737124443054]
[   21] BNT [score: 6803.53759765625, median singleton score: 41.88182830810547, visited nodes (%): 99.33333587646484, solving time (ms): 595.0, median approximation score: 1.0286648869514465]
[   21] CTS [score: 7850.138671875, median singleton score: 49.427032470703125, visited nodes (%): 98.66667175292969, solving time (ms): 153.0, median approximation score: 1.1283459067344666]
[   21] ANT-e [score: 6534.97509765625, median singleton score: 41.65080642700195, visited nodes (%): 97.33333587646484, solving time (ms): 13313.0, median approximation score: 0.0]
[   22] EDF [score: 5857.00439453125, median singleton score: 33.3929443359375, visited nodes (%): 100.0, solving time (ms): 34.0, median approximation score: 0.21536222100257874]
[   22] BNT [score: 19112.88671875, median singleton score: 110.0731430053711, visited nodes (%): 97.33333587646484, solving time (ms): 993.0, median approximation score: 1.0]
[   22] CTS [score: 26667.66796875, median singleton score: 204.17832946777344, visited nodes (%): 80.0, solving time (ms): 251.0, median approximation score: 1.026248276233673]
[   22] ANT-e [score: 17468.96484375, median singleton score: 124.7336196899414, visited nodes (%): 84.66667175292969, solving time (ms): 14515.0, median approximation score: 0.0]
[   23] EDF [score: 4704.71923828125, median singleton score: 30.985759735107422, visited nodes (%): 99.33333587646484, solving time (ms): 33.0, median approximation score: 0.06795656308531761]
[   23] BNT [score: 25794.037109375, median singleton score: 129.11399841308594, visited nodes (%): 91.33333587646484, solving time (ms): 897.0, median approximation score: 0.8346400260925293]
[   23] CTS [score: 17123.419921875, median singleton score: 280.42498779296875, visited nodes (%): 35.33333206176758, solving time (ms): 453.0, median approximation score: 0.0]
[   23] ANT-e [score: 10348.2666015625, median singleton score: 33.51394271850586, visited nodes (%): 54.66666793823242, solving time (ms): 12152.0, median approximation score: 0.0]
[   24] EDF [score: 5291.4365234375, median singleton score: 33.730472564697266, visited nodes (%): 100.0, solving time (ms): 31.0, median approximation score: 0.07423223555088043]
[   24] BNT [score: 38021.19921875, median singleton score: 224.57313537597656, visited nodes (%): 95.33332824707031, solving time (ms): 988.0, median approximation score: 1.007662832736969]
[   24] CTS [score: 17221.6875, median singleton score: 407.45379638671875, visited nodes (%): 26.0, solving time (ms): 482.0, median approximation score: 0.0]
[   24] ANT-e [score: 9575.8955078125, median singleton score: 33.0205192565918, visited nodes (%): 59.33333206176758, solving time (ms): 14085.0, median approximation score: 0.0]
[   25] EDF [score: 5639.04541015625, median singleton score: 34.699951171875, visited nodes (%): 99.33333587646484, solving time (ms): 34.0, median approximation score: 0.5314283967018127]
[   25] BNT [score: 12167.94140625, median singleton score: 72.18976593017578, visited nodes (%): 98.66667175292969, solving time (ms): 883.0, median approximation score: 1.1417410969734192]
[   25] CTS [score: 16183.2177734375, median singleton score: 105.70951843261719, visited nodes (%): 95.33332824707031, solving time (ms): 134.0, median approximation score: 1.3892772197723389]
[   25] ANT-e [score: 10633.982421875, median singleton score: 59.84999465942383, visited nodes (%): 98.0, solving time (ms): 591.0, median approximation score: 0.0]
[   26] EDF [score: 4660.13916015625, median singleton score: 29.892789840698242, visited nodes (%): 99.33333587646484, solving time (ms): 28.0, median approximation score: 0.9599999785423279]
[   26] BNT [score: 5580.91796875, median singleton score: 34.14458465576172, visited nodes (%): 98.0, solving time (ms): 696.0, median approximation score: 1.0161291360855103]
[   26] CTS [score: 6233.158203125, median singleton score: 38.60139846801758, visited nodes (%): 96.66666412353516, solving time (ms): 138.0, median approximation score: 1.0769230723381042]
[   26] ANT-e [score: 5321.720703125, median singleton score: 32.3043212890625, visited nodes (%): 98.0, solving time (ms): 15351.0, median approximation score: 0.0]
[   27] EDF [score: 4809.662109375, median singleton score: 30.24700927734375, visited nodes (%): 99.33333587646484, solving time (ms): 34.0, median approximation score: 0.23013877868652344]
[   27] BNT [score: 24736.72265625, median singleton score: 137.2847900390625, visited nodes (%): 96.66666412353516, solving time (ms): 876.0, median approximation score: 1.1766092777252197]
[   27] CTS [score: 29983.15625, median singleton score: 187.50088500976562, visited nodes (%): 90.66667175292969, solving time (ms): 216.0, median approximation score: 1.6366022825241089]
[   27] ANT-e [score: 15992.12109375, median singleton score: 101.56109619140625, visited nodes (%): 91.33333587646484, solving time (ms): 12765.0, median approximation score: 0.0]
[   28] EDF [score: 5065.55078125, median singleton score: 31.717287063598633, visited nodes (%): 100.0, solving time (ms): 32.0, median approximation score: 0.5954545438289642]
[   28] BNT [score: 8828.4365234375, median singleton score: 48.494441986083984, visited nodes (%): 98.0, solving time (ms): 718.0, median approximation score: 1.0891287326812744]
[   28] CTS [score: 10853.1416015625, median singleton score: 68.88705444335938, visited nodes (%): 97.33333587646484, solving time (ms): 163.0, median approximation score: 1.1365332007408142]
[   28] ANT-e [score: 8230.046875, median singleton score: 46.01268768310547, visited nodes (%): 97.33333587646484, solving time (ms): 15317.0, median approximation score: 0.0]
[   29] EDF [score: 5608.1259765625, median singleton score: 32.743709564208984, visited nodes (%): 99.33333587646484, solving time (ms): 32.0, median approximation score: 0.4999997317790985]
[   29] BNT [score: 10727.5654296875, median singleton score: 61.25715637207031, visited nodes (%): 99.33333587646484, solving time (ms): 774.0, median approximation score: 1.0809836983680725]
[   29] CTS [score: 13019.8837890625, median singleton score: 85.50270080566406, visited nodes (%): 97.33333587646484, solving time (ms): 148.0, median approximation score: 1.122199833393097]
[   29] ANT-e [score: 9952.5595703125, median singleton score: 62.64897918701172, visited nodes (%): 96.66666412353516, solving time (ms): 14443.0, median approximation score: 0.0]
[   30] EDF [score: 4938.15673828125, median singleton score: 30.827159881591797, visited nodes (%): 98.66667175292969, solving time (ms): 32.0, median approximation score: 0.6417296230792999]
[   30] BNT [score: 8936.267578125, median singleton score: 50.50220489501953, visited nodes (%): 97.33333587646484, solving time (ms): 662.0, median approximation score: 1.1132479310035706]
[   30] CTS [score: 11049.9052734375, median singleton score: 71.12020111083984, visited nodes (%): 95.33332824707031, solving time (ms): 140.0, median approximation score: 1.3905229568481445]
[   30] ANT-e [score: 8008.52197265625, median singleton score: 45.46237564086914, visited nodes (%): 98.66667175292969, solving time (ms): 6809.0, median approximation score: 0.0]
[   31] EDF [score: 4271.80810546875, median singleton score: 26.855270385742188, visited nodes (%): 99.33333587646484, solving time (ms): 31.0, median approximation score: 0.19260352104902267]
[   31] BNT [score: 15074.3837890625, median singleton score: 65.39414978027344, visited nodes (%): 99.33333587646484, solving time (ms): 812.0, median approximation score: 1.0055249333381653]
[   31] CTS [score: 24803.939453125, median singleton score: 180.257568359375, visited nodes (%): 88.0, solving time (ms): 221.0, median approximation score: 1.1295298337936401]
[   31] ANT-e [score: 16379.576171875, median singleton score: 87.24178314208984, visited nodes (%): 93.33333587646484, solving time (ms): 13763.0, median approximation score: 0.0]
[   32] EDF [score: 4953.6357421875, median singleton score: 32.41173553466797, visited nodes (%): 99.33333587646484, solving time (ms): 34.0, median approximation score: 0.42640697956085205]
[   32] BNT [score: 10512.984375, median singleton score: 50.097251892089844, visited nodes (%): 99.33333587646484, solving time (ms): 790.0, median approximation score: 1.0556402802467346]
[   32] CTS [score: 14701.6669921875, median singleton score: 91.58845520019531, visited nodes (%): 98.0, solving time (ms): 159.0, median approximation score: 1.1859374642372131]
[   32] ANT-e [score: 10616.365234375, median singleton score: 57.10396194458008, visited nodes (%): 98.66667175292969, solving time (ms): 15197.0, median approximation score: 0.0]
[   33] EDF [score: 5149.84228515625, median singleton score: 32.01555633544922, visited nodes (%): 100.0, solving time (ms): 33.0, median approximation score: 0.7363454699516296]
[   33] BNT [score: 8256.630859375, median singleton score: 46.628257751464844, visited nodes (%): 99.33333587646484, solving time (ms): 656.0, median approximation score: 1.0588235259056091]
[   33] CTS [score: 9756.294921875, median singleton score: 62.320228576660156, visited nodes (%): 98.0, solving time (ms): 155.0, median approximation score: 1.171921193599701]
[   33] ANT-e [score: 7831.646484375, median singleton score: 44.23550033569336, visited nodes (%): 99.33333587646484, solving time (ms): 13775.0, median approximation score: 0.0]
[   34] EDF [score: 4870.783203125, median singleton score: 31.0283145904541, visited nodes (%): 99.33333587646484, solving time (ms): 34.0, median approximation score: 1.0]
[   34] BNT [score: 7725.48974609375, median singleton score: 46.89252471923828, visited nodes (%): 99.33333587646484, solving time (ms): 515.0, median approximation score: 1.3717106580734253]
[   34] CTS [score: 8462.140625, median singleton score: 50.62229537963867, visited nodes (%): 99.33333587646484, solving time (ms): 129.0, median approximation score: 1.604701280593872]
[   34] ANT-e [score: 5855.5615234375, median singleton score: 35.2137451171875, visited nodes (%): 99.33333587646484, solving time (ms): 7465.0, median approximation score: 0.0]
[   35] EDF [score: 4785.18896484375, median singleton score: 31.250625610351562, visited nodes (%): 99.33333587646484, solving time (ms): 35.0, median approximation score: 0.6449579298496246]
[   35] BNT [score: 8719.8408203125, median singleton score: 52.05604553222656, visited nodes (%): 99.33333587646484, solving time (ms): 748.0, median approximation score: 1.1538576483726501]
[   35] CTS [score: 10229.759765625, median singleton score: 67.50936126708984, visited nodes (%): 99.33333587646484, solving time (ms): 126.0, median approximation score: 1.2609931230545044]
[   35] ANT-e [score: 7794.95166015625, median singleton score: 44.159584045410156, visited nodes (%): 98.66667175292969, solving time (ms): 15791.0, median approximation score: 0.0]
[   36] EDF [score: 5295.2919921875, median singleton score: 33.740867614746094, visited nodes (%): 99.33333587646484, solving time (ms): 38.0, median approximation score: 0.33095259964466095]
[   36] BNT [score: 15372.3974609375, median singleton score: 80.71427917480469, visited nodes (%): 97.33333587646484, solving time (ms): 974.0, median approximation score: 1.0869565606117249]
[   36] CTS [score: 20925.734375, median singleton score: 149.904052734375, visited nodes (%): 90.66667175292969, solving time (ms): 201.0, median approximation score: 1.1423503756523132]
[   36] ANT-e [score: 14674.849609375, median singleton score: 74.15972900390625, visited nodes (%): 92.0, solving time (ms): 16071.0, median approximation score: 0.0]
[   37] EDF [score: 4906.9677734375, median singleton score: 31.479740142822266, visited nodes (%): 99.33333587646484, solving time (ms): 34.0, median approximation score: 0.7426471710205078]
[   37] BNT [score: 7587.60595703125, median singleton score: 41.55622863769531, visited nodes (%): 98.66667175292969, solving time (ms): 684.0, median approximation score: 1.0799999833106995]
[   37] CTS [score: 8524.9130859375, median singleton score: 54.79038619995117, visited nodes (%): 96.66666412353516, solving time (ms): 126.0, median approximation score: 1.1855865120887756]
[   37] ANT-e [score: 7349.2685546875, median singleton score: 41.5173454284668, visited nodes (%): 99.33333587646484, solving time (ms): 15527.0, median approximation score: 0.0]
[   38] EDF [score: 4347.32373046875, median singleton score: 27.606069564819336, visited nodes (%): 99.33333587646484, solving time (ms): 33.0, median approximation score: 0.8666665852069855]
[   38] BNT [score: 5673.3984375, median singleton score: 35.23308181762695, visited nodes (%): 98.66667175292969, solving time (ms): 594.0, median approximation score: 1.0416666865348816]
[   38] CTS [score: 6201.4462890625, median singleton score: 39.17482376098633, visited nodes (%): 98.66667175292969, solving time (ms): 150.0, median approximation score: 1.1012820601463318]
[   38] ANT-e [score: 5379.29345703125, median singleton score: 31.17861557006836, visited nodes (%): 98.66667175292969, solving time (ms): 15893.0, median approximation score: 0.0]
[   39] EDF [score: 5267.31787109375, median singleton score: 31.788034439086914, visited nodes (%): 100.0, solving time (ms): 33.0, median approximation score: 0.21655747294425964]
[   39] BNT [score: 20210.01953125, median singleton score: 114.9574966430664, visited nodes (%): 98.66667175292969, solving time (ms): 909.0, median approximation score: 1.0760363340377808]
[   39] CTS [score: 25888.818359375, median singleton score: 186.89537048339844, visited nodes (%): 82.66666412353516, solving time (ms): 232.0, median approximation score: 1.112061083316803]
[   39] ANT-e [score: 16978.484375, median singleton score: 86.90306091308594, visited nodes (%): 90.66667175292969, solving time (ms): 14856.0, median approximation score: 0.0]
[   40] EDF [score: 4967.46484375, median singleton score: 30.99115562438965, visited nodes (%): 99.33333587646484, solving time (ms): 35.0, median approximation score: 0.2534271329641342]
[   40] BNT [score: 18869.634765625, median singleton score: 101.03218841552734, visited nodes (%): 97.33333587646484, solving time (ms): 835.0, median approximation score: 1.1010569334030151]
[   40] CTS [score: 23858.939453125, median singleton score: 163.04444885253906, visited nodes (%): 86.66666412353516, solving time (ms): 206.0, median approximation score: 1.3267302513122559]
[   40] ANT-e [score: 15797.0673828125, median singleton score: 111.50714111328125, visited nodes (%): 88.0, solving time (ms): 12392.0, median approximation score: 0.0]
[   41] EDF [score: 4329.7919921875, median singleton score: 27.448118209838867, visited nodes (%): 100.0, solving time (ms): 29.0, median approximation score: 0.9333333075046539]
[   41] BNT [score: 5215.3466796875, median singleton score: 30.103107452392578, visited nodes (%): 100.0, solving time (ms): 593.0, median approximation score: 1.0769230723381042]
[   41] CTS [score: 5407.810546875, median singleton score: 32.25345230102539, visited nodes (%): 98.66667175292969, solving time (ms): 141.0, median approximation score: 1.066666603088379]
[   41] ANT-e [score: 4980.02880859375, median singleton score: 31.009109497070312, visited nodes (%): 99.33333587646484, solving time (ms): 12999.0, median approximation score: 0.0]
[   42] EDF [score: 4917.81396484375, median singleton score: 32.20613479614258, visited nodes (%): 100.0, solving time (ms): 32.0, median approximation score: 1.0816667675971985]
[   42] BNT [score: 7688.8251953125, median singleton score: 44.39680862426758, visited nodes (%): 100.0, solving time (ms): 617.0, median approximation score: 1.375000238418579]
[   42] CTS [score: 9231.8173828125, median singleton score: 46.12337112426758, visited nodes (%): 100.0, solving time (ms): 139.0, median approximation score: 2.1269229650497437]
[   42] ANT-e [score: 4896.10009765625, median singleton score: 30.68720817565918, visited nodes (%): 100.0, solving time (ms): 14939.0, median approximation score: 0.0]
[   43] EDF [score: 5075.1572265625, median singleton score: 33.59484100341797, visited nodes (%): 100.0, solving time (ms): 35.0, median approximation score: 0.7600000500679016]
[   43] BNT [score: 7481.708984375, median singleton score: 44.95463943481445, visited nodes (%): 99.33333587646484, solving time (ms): 672.0, median approximation score: 1.021338701248169]
[   43] CTS [score: 8336.275390625, median singleton score: 58.316307067871094, visited nodes (%): 97.33333587646484, solving time (ms): 129.0, median approximation score: 1.0888364911079407]
[   43] ANT-e [score: 7251.32568359375, median singleton score: 40.709712982177734, visited nodes (%): 100.0, solving time (ms): 13533.0, median approximation score: 0.0]
[   44] EDF [score: 5265.29345703125, median singleton score: 34.9904670715332, visited nodes (%): 100.0, solving time (ms): 36.0, median approximation score: 0.833333432674408]
