Job name        : med-synthetic-uc_agent-based
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_AGENT_BASED]
[Benchmark] session started

[    1] EDF [score: 304.5690002441406, median singleton score: 17.566539764404297, visited nodes (%): 100.0, solving time (ms): 15.0, median approximation score: 1.0]
[    4] EDF [score: 331.256591796875, median singleton score: 19.971899032592773, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.1111111640930176]
[    4] BNT [score: 439.8845520019531, median singleton score: 16.98076629638672, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.0]
[    4] CTS [score: 754.5969848632812, median singleton score: 18.81551742553711, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.25]
[    4] ANT-e [score: 550.20947265625, median singleton score: 21.787527084350586, visited nodes (%): 100.0, solving time (ms): 504.0, median approximation score: 0.0]
[    5] EDF [score: 323.03131103515625, median singleton score: 16.187572479248047, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.3333334922790527]
[    5] BNT [score: 779.5266723632812, median singleton score: 35.489444732666016, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 2.750000476837158]
[    5] CTS [score: 1228.325439453125, median singleton score: 28.729549407958984, visited nodes (%): 100.0, solving time (ms): 10.0, median approximation score: 2.000000476837158]
[    5] ANT-e [score: 1325.00634765625, median singleton score: 83.26835632324219, visited nodes (%): 100.0, solving time (ms): 236.0, median approximation score: 0.0]
[    6] EDF [score: 415.7876892089844, median singleton score: 13.887988090515137, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 0.7999999523162842]
[    6] BNT [score: 467.92803955078125, median singleton score: 13.529216766357422, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 0.615384578704834]
[    6] CTS [score: 463.51123046875, median singleton score: 20.572179794311523, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 0.485714316368103]
[    6] ANT-e [score: 772.9999389648438, median singleton score: 36.75406265258789, visited nodes (%): 100.0, solving time (ms): 221.0, median approximation score: 0.0]
[    7] EDF [score: 208.71060180664062, median singleton score: 10.976537704467773, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[    7] BNT [score: 754.1531372070312, median singleton score: 17.600120544433594, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.600000023841858]
[    7] CTS [score: 492.761962890625, median singleton score: 17.45840072631836, visited nodes (%): 100.0, solving time (ms): 8.0, median approximation score: 1.857142686843872]
[    7] ANT-e [score: 2404.14990234375, median singleton score: 91.49002075195312, visited nodes (%): 93.33333587646484, solving time (ms): 54.0, median approximation score: 0.0]
[    8] EDF [score: 670.424072265625, median singleton score: 21.00191879272461, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 0.15384630858898163]
[    8] BNT [score: 1116.02587890625, median singleton score: 14.439916610717773, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 0.10000000894069672]
[    8] CTS [score: 1030.1258544921875, median singleton score: 23.610759735107422, visited nodes (%): 100.0, solving time (ms): 10.0, median approximation score: 0.1481483429670334]
[    8] ANT-e [score: 1723.0968017578125, median singleton score: 119.0677490234375, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 0.0]
[    9] EDF [score: 426.79443359375, median singleton score: 17.416994094848633, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.25]
[    9] BNT [score: 603.4738159179688, median singleton score: 15.108943939208984, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.0]
[    9] CTS [score: 575.2800903320312, median singleton score: 21.89103126525879, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.0]
[    9] ANT-e [score: 1668.0740966796875, median singleton score: 115.65777587890625, visited nodes (%): 100.0, solving time (ms): 571.0, median approximation score: 0.0]
[   10] EDF [score: 716.2610473632812, median singleton score: 12.347352981567383, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 0.3026316165924072]
[   10] BNT [score: 759.5426635742188, median singleton score: 45.7536506652832, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 0.5384618043899536]
[   10] CTS [score: 659.8832397460938, median singleton score: 32.138946533203125, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 0.4615385830402374]
[   10] ANT-e [score: 1305.203369140625, median singleton score: 85.0155258178711, visited nodes (%): 100.0, solving time (ms): 214.0, median approximation score: 0.0]
[   11] EDF [score: 257.5447998046875, median singleton score: 14.832036972045898, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 0.5]
[   11] BNT [score: 561.6004638671875, median singleton score: 14.217937469482422, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 0.8571428656578064]
[   11] CTS [score: 1043.16015625, median singleton score: 28.127914428710938, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 0.9655172228813171]
[   11] ANT-e [score: 353.1349792480469, median singleton score: 27.038780212402344, visited nodes (%): 100.0, solving time (ms): 189.0, median approximation score: 0.0]
[   12] EDF [score: 365.88995361328125, median singleton score: 22.302383422851562, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   12] BNT [score: 530.4827270507812, median singleton score: 11.155317306518555, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 0.555555522441864]
[   12] CTS [score: 884.9158325195312, median singleton score: 22.156917572021484, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 1.0]
[   12] ANT-e [score: 820.3154296875, median singleton score: 44.451107025146484, visited nodes (%): 100.0, solving time (ms): 365.0, median approximation score: 0.0]
[   13] EDF [score: 425.9704895019531, median singleton score: 23.645217895507812, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6499994993209839]
[   13] BNT [score: 500.6385498046875, median singleton score: 24.108646392822266, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.3333333730697632]
[   13] CTS [score: 712.218505859375, median singleton score: 16.903335571289062, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 1.5000001192092896]
[   13] ANT-e [score: 1154.847412109375, median singleton score: 67.85454559326172, visited nodes (%): 100.0, solving time (ms): 413.0, median approximation score: 0.0]
[   14] EDF [score: 222.85748291015625, median singleton score: 11.773130416870117, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   14] BNT [score: 324.2501525878906, median singleton score: 21.733585357666016, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.5]
[   14] CTS [score: 686.6713256835938, median singleton score: 29.761215209960938, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 2.285714864730835]
[   14] ANT-e [score: 192.20211791992188, median singleton score: 10.91823673248291, visited nodes (%): 100.0, solving time (ms): 309.0, median approximation score: 0.0]
[   15] EDF [score: 454.5681457519531, median singleton score: 22.620878219604492, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   15] BNT [score: 659.7996826171875, median singleton score: 23.612384796142578, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.0]
[   15] CTS [score: 892.86767578125, median singleton score: 19.16574478149414, visited nodes (%): 100.0, solving time (ms): 10.0, median approximation score: 0.9473683834075928]
[   15] ANT-e [score: 2026.6151123046875, median singleton score: 105.79579162597656, visited nodes (%): 100.0, solving time (ms): 312.0, median approximation score: 0.0]
[   16] EDF [score: 275.62969970703125, median singleton score: 17.229501724243164, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.0]
[   16] BNT [score: 283.1910095214844, median singleton score: 14.302553176879883, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 0.8999999761581421]
[   16] CTS [score: 395.37249755859375, median singleton score: 20.519296646118164, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 1.0]
[   16] ANT-e [score: 321.5653076171875, median singleton score: 19.53317642211914, visited nodes (%): 100.0, solving time (ms): 552.0, median approximation score: 0.0]
[   17] EDF [score: 533.5975341796875, median singleton score: 18.844087600708008, visited nodes (%): 86.66666412353516, solving time (ms): 0.0, median approximation score: 1.0]
[   17] BNT [score: 477.61041259765625, median singleton score: 14.75703239440918, visited nodes (%): 86.66666412353516, solving time (ms): 1.0, median approximation score: 0.3529411256313324]
[   17] CTS [score: 456.0472717285156, median singleton score: 18.2154483795166, visited nodes (%): 93.33333587646484, solving time (ms): 8.0, median approximation score: 0.23076921701431274]
[   17] ANT-e [score: 1367.1058349609375, median singleton score: 84.76229095458984, visited nodes (%): 93.33333587646484, solving time (ms): 337.0, median approximation score: 0.0]
[   18] EDF [score: 330.6054382324219, median singleton score: 14.685545921325684, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   18] BNT [score: 564.9851684570312, median singleton score: 14.688206672668457, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.0]
[   18] CTS [score: 1077.6732177734375, median singleton score: 38.353206634521484, visited nodes (%): 100.0, solving time (ms): 8.0, median approximation score: 1.0]
[   18] ANT-e [score: 875.5591430664062, median singleton score: 35.24531173706055, visited nodes (%): 100.0, solving time (ms): 361.0, median approximation score: 0.0]
[   19] EDF [score: 88.33885192871094, median singleton score: 11.335406303405762, visited nodes (%): 40.0, solving time (ms): 0.0, median approximation score: 0.0]
[   19] BNT [score: 120.30953979492188, median singleton score: 22.72121810913086, visited nodes (%): 40.0, solving time (ms): 1.0, median approximation score: 0.0]
[   19] CTS [score: 387.5872497558594, median singleton score: 18.38749122619629, visited nodes (%): 93.33333587646484, solving time (ms): 7.0, median approximation score: 0.0]
[   19] ANT-e [score: 83.05543518066406, median singleton score: 17.594545364379883, visited nodes (%): 26.666667938232422, solving time (ms): 38.0, median approximation score: 0.0]
[   20] EDF [score: 153.3673858642578, median singleton score: 7.577881336212158, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   20] BNT [score: 903.0838012695312, median singleton score: 27.604888916015625, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 4.000000953674316]
[   20] CTS [score: 428.2140197753906, median singleton score: 18.014768600463867, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 3.499999523162842]
[   20] ANT-e [score: 185.2327880859375, median singleton score: 8.28146743774414, visited nodes (%): 100.0, solving time (ms): 42.0, median approximation score: 0.0]
[   21] EDF [score: 520.2951049804688, median singleton score: 34.224403381347656, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   21] BNT [score: 657.5555419921875, median singleton score: 21.1400089263916, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 0.7575757503509521]
[   21] CTS [score: 646.687744140625, median singleton score: 32.12456130981445, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.0]
[   21] ANT-e [score: 545.9542236328125, median singleton score: 28.86310386657715, visited nodes (%): 100.0, solving time (ms): 156.0, median approximation score: 0.0]
[   22] EDF [score: 384.6210021972656, median singleton score: 19.6004638671875, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   22] BNT [score: 623.6978149414062, median singleton score: 23.52055549621582, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 1.0]
[   22] CTS [score: 452.3834533691406, median singleton score: 19.577287673950195, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 0.9000000357627869]
[   22] ANT-e [score: 338.4284973144531, median singleton score: 23.136795043945312, visited nodes (%): 100.0, solving time (ms): 164.0, median approximation score: 0.0]
[   23] EDF [score: 278.7738037109375, median singleton score: 12.714339256286621, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 0.2352941334247589]
[   23] BNT [score: 416.1288146972656, median singleton score: 15.490860939025879, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 0.24999992549419403]
[   23] CTS [score: 463.9303894042969, median singleton score: 34.36102294921875, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 0.5873010754585266]
[   23] ANT-e [score: 865.4264526367188, median singleton score: 60.106544494628906, visited nodes (%): 93.33333587646484, solving time (ms): 29.0, median approximation score: 0.0]
[   24] EDF [score: 733.3866577148438, median singleton score: 15.258809089660645, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 0.8333333134651184]
[   24] BNT [score: 1127.1866455078125, median singleton score: 19.3104248046875, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 0.5000000596046448]
[   24] CTS [score: 1578.54541015625, median singleton score: 66.31079864501953, visited nodes (%): 93.33333587646484, solving time (ms): 10.0, median approximation score: 1.3269230127334595]
[   24] ANT-e [score: 1720.4715576171875, median singleton score: 142.44989013671875, visited nodes (%): 80.0, solving time (ms): 5.0, median approximation score: 0.0]
[   25] EDF [score: 341.5225524902344, median singleton score: 17.894521713256836, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 0.8999999761581421]
[   25] BNT [score: 404.872314453125, median singleton score: 17.894521713256836, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.8666666746139526]
[   25] CTS [score: 462.62542724609375, median singleton score: 25.17965316772461, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 0.5999999642372131]
[   25] ANT-e [score: 755.9259033203125, median singleton score: 34.93423080444336, visited nodes (%): 100.0, solving time (ms): 509.0, median approximation score: 0.0]
[   26] EDF [score: 170.5586395263672, median singleton score: 10.035011291503906, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   26] BNT [score: 220.43435668945312, median singleton score: 15.333100318908691, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 2.000000238418579]
[   26] CTS [score: 532.2614135742188, median singleton score: 14.049016952514648, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.9999998807907104]
[   26] ANT-e [score: 185.6029510498047, median singleton score: 10.031054496765137, visited nodes (%): 100.0, solving time (ms): 26.0, median approximation score: 0.0]
[   27] EDF [score: 670.4365844726562, median singleton score: 8.698265075683594, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 0.0]
[   27] BNT [score: 78.48462677001953, median singleton score: 12.892518997192383, visited nodes (%): 33.333335876464844, solving time (ms): 0.0, median approximation score: 0.0]
[   27] CTS [score: 243.69886779785156, median singleton score: 9.238470077514648, visited nodes (%): 86.66666412353516, solving time (ms): 7.0, median approximation score: 0.0]
[   27] ANT-e [score: 604.4405517578125, median singleton score: 22.145618438720703, visited nodes (%): 20.0, solving time (ms): 333.0, median approximation score: 0.0]
[   28] EDF [score: 391.03680419921875, median singleton score: 22.704547882080078, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 0.6111112236976624]
[   28] BNT [score: 498.3687744140625, median singleton score: 24.18162727355957, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 0.5294117331504822]
[   28] CTS [score: 791.3115234375, median singleton score: 14.171257972717285, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 0.3333333134651184]
[   28] ANT-e [score: 645.1064453125, median singleton score: 40.54927444458008, visited nodes (%): 100.0, solving time (ms): 120.0, median approximation score: 0.0]
[   29] EDF [score: 269.751220703125, median singleton score: 15.963737487792969, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   29] BNT [score: 531.1209106445312, median singleton score: 21.189857482910156, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.2000000476837158]
[   29] CTS [score: 992.5673217773438, median singleton score: 47.43932342529297, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 2.8333327770233154]
[   29] ANT-e [score: 259.19305419921875, median singleton score: 17.782058715820312, visited nodes (%): 100.0, solving time (ms): 251.0, median approximation score: 0.0]
[   30] EDF [score: 176.9330291748047, median singleton score: 12.166841506958008, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.0]
[   30] BNT [score: 197.00633239746094, median singleton score: 11.511670112609863, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.0]
[   30] CTS [score: 319.9938049316406, median singleton score: 9.976847648620605, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 1.0]
[   30] ANT-e [score: 162.78805541992188, median singleton score: 11.396673202514648, visited nodes (%): 100.0, solving time (ms): 183.0, median approximation score: 0.0]
[   31] EDF [score: 508.40411376953125, median singleton score: 31.925201416015625, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.0]
[   31] BNT [score: 853.5885009765625, median singleton score: 41.730445861816406, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 2.0476186275482178]
[   31] CTS [score: 634.51953125, median singleton score: 28.948490142822266, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 0.8499999046325684]
[   31] ANT-e [score: 516.6383666992188, median singleton score: 29.83283233642578, visited nodes (%): 93.33333587646484, solving time (ms): 338.0, median approximation score: 0.0]
[   32] EDF [score: 163.03953552246094, median singleton score: 10.480779647827148, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   32] BNT [score: 183.73692321777344, median singleton score: 11.077620506286621, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 0.9230769276618958]
[   32] CTS [score: 581.4866333007812, median singleton score: 18.460983276367188, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.600000023841858]
[   32] ANT-e [score: 181.105712890625, median singleton score: 12.134005546569824, visited nodes (%): 93.33333587646484, solving time (ms): 15.0, median approximation score: 0.0]
[   33] EDF [score: 232.1194305419922, median singleton score: 12.416938781738281, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   33] BNT [score: 287.6645812988281, median singleton score: 15.962334632873535, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.0]
[   33] CTS [score: 513.1861572265625, median singleton score: 15.381637573242188, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.1818181276321411]
[   33] ANT-e [score: 295.1922302246094, median singleton score: 15.962334632873535, visited nodes (%): 100.0, solving time (ms): 370.0, median approximation score: 0.0]
[   34] EDF [score: 200.8610076904297, median singleton score: 11.62838077545166, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 0.714285671710968]
[   34] BNT [score: 223.22142028808594, median singleton score: 13.566444396972656, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 0.6666667461395264]
[   34] CTS [score: 394.760986328125, median singleton score: 17.757171630859375, visited nodes (%): 93.33333587646484, solving time (ms): 7.0, median approximation score: 1.0]
[   34] ANT-e [score: 244.29351806640625, median singleton score: 18.269975662231445, visited nodes (%): 93.33333587646484, solving time (ms): 2.0, median approximation score: 0.0]
[   35] EDF [score: 372.345703125, median singleton score: 21.262372970581055, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   35] BNT [score: 737.7322387695312, median singleton score: 45.20458984375, visited nodes (%): 86.66666412353516, solving time (ms): 1.0, median approximation score: 2.000000476837158]
[   35] CTS [score: 490.1024169921875, median singleton score: 22.856990814208984, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 1.0714285373687744]
[   35] ANT-e [score: 821.293701171875, median singleton score: 44.92127990722656, visited nodes (%): 100.0, solving time (ms): 169.0, median approximation score: 0.0]
[   36] EDF [score: 297.1334533691406, median singleton score: 13.32923412322998, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   36] BNT [score: 549.1261596679688, median singleton score: 20.492645263671875, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.0]
[   36] CTS [score: 494.665771484375, median singleton score: 17.973011016845703, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.0]
[   36] ANT-e [score: 646.1698608398438, median singleton score: 16.59978485107422, visited nodes (%): 100.0, solving time (ms): 357.0, median approximation score: 0.0]
[   37] EDF [score: 167.566650390625, median singleton score: 11.174055099487305, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   37] BNT [score: 188.0927734375, median singleton score: 13.43716049194336, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.0]
[   37] CTS [score: 668.314208984375, median singleton score: 20.74176025390625, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.875000238418579]
[   37] ANT-e [score: 177.1859893798828, median singleton score: 13.267271041870117, visited nodes (%): 100.0, solving time (ms): 137.0, median approximation score: 0.0]
[   38] EDF [score: 169.23622131347656, median singleton score: 11.746528625488281, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   38] BNT [score: 233.3972625732422, median singleton score: 15.437744140625, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.0]
[   38] CTS [score: 456.49945068359375, median singleton score: 21.840219497680664, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 3.4000003337860107]
[   38] ANT-e [score: 179.9431610107422, median singleton score: 10.654915809631348, visited nodes (%): 93.33333587646484, solving time (ms): 14.0, median approximation score: 0.0]
[   39] EDF [score: 44.74628829956055, median singleton score: 15.282303810119629, visited nodes (%): 20.0, solving time (ms): 0.0, median approximation score: 0.0]
[   39] BNT [score: 44.74628448486328, median singleton score: 15.282303810119629, visited nodes (%): 20.0, solving time (ms): 0.0, median approximation score: 0.0]
[   39] CTS [score: 536.205322265625, median singleton score: 22.99392318725586, visited nodes (%): 86.66666412353516, solving time (ms): 8.0, median approximation score: 0.0]
[   39] ANT-e [score: 75.1417465209961, median singleton score: 22.9234561920166, visited nodes (%): 20.0, solving time (ms): 313.0, median approximation score: 0.0]
[   40] EDF [score: 569.7477416992188, median singleton score: 14.482963562011719, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 0.7368420362472534]
[   40] BNT [score: 760.4189453125, median singleton score: 17.543609619140625, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.8888888359069824]
[   40] CTS [score: 1677.54150390625, median singleton score: 39.965885162353516, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 0.46875014901161194]
[   40] ANT-e [score: 1183.1513671875, median singleton score: 75.22056579589844, visited nodes (%): 100.0, solving time (ms): 533.0, median approximation score: 0.0]
[   41] EDF [score: 556.9948120117188, median singleton score: 18.575374603271484, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 0.0]
[   41] BNT [score: 1004.070068359375, median singleton score: 26.12478256225586, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 0.0]
[   41] CTS [score: 1043.0194091796875, median singleton score: 21.9779052734375, visited nodes (%): 93.33333587646484, solving time (ms): 8.0, median approximation score: 0.0]
[   41] ANT-e [score: 2279.36083984375, median singleton score: 265.26702880859375, visited nodes (%): 46.66666793823242, solving time (ms): 27.0, median approximation score: 0.0]
[   42] EDF [score: 655.8941040039062, median singleton score: 33.55033874511719, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 0.1564626693725586]
[   42] BNT [score: 1184.46630859375, median singleton score: 33.61046600341797, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 0.2142854481935501]
[   42] CTS [score: 713.8121948242188, median singleton score: 23.083751678466797, visited nodes (%): 86.66666412353516, solving time (ms): 8.0, median approximation score: 0.12244883179664612]
[   42] ANT-e [score: 2550.9755859375, median singleton score: 176.16104125976562, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 0.0]
[   43] EDF [score: 137.0438690185547, median singleton score: 8.167821884155273, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   43] BNT [score: 203.22018432617188, median singleton score: 10.077034950256348, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.3333333730697632]
[   43] CTS [score: 262.7528991699219, median singleton score: 13.98482894897461, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 2.3333332538604736]
[   43] ANT-e [score: 203.14454650878906, median singleton score: 10.283164978027344, visited nodes (%): 100.0, solving time (ms): 322.0, median approximation score: 0.0]
[   44] EDF [score: 319.0543212890625, median singleton score: 13.483885765075684, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.0]
[   44] BNT [score: 561.6427612304688, median singleton score: 19.280372619628906, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.0]
[   44] CTS [score: 1080.28955078125, median singleton score: 25.86387062072754, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 1.3529411554336548]
[   44] ANT-e [score: 3439.423095703125, median singleton score: 134.8057098388672, visited nodes (%): 93.33333587646484, solving time (ms): 2.0, median approximation score: 0.0]
[   45] EDF [score: 1015.051025390625, median singleton score: 34.226505279541016, visited nodes (%): 80.0, solving time (ms): 1.0, median approximation score: 0.08100579679012299]
[   45] BNT [score: 1567.34228515625, median singleton score: 67.66404724121094, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.19999998807907104]
[   45] CTS [score: 2328.55810546875, median singleton score: 90.8519287109375, visited nodes (%): 86.66666412353516, solving time (ms): 11.0, median approximation score: 0.0]
[   45] ANT-e [score: 2884.150146484375, median singleton score: 222.18707275390625, visited nodes (%): 80.0, solving time (ms): 693.0, median approximation score: 0.0]
